0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25416
1244.297	25470
1244.52	25349
1244.743	25648
1244.965	25413
1245.188	25595
1245.411	25347
1245.633	25457
1245.856	25542
1246.078	25557
1246.301	25493
1246.523	25632
1246.746	25408
1246.968	25673
1247.191	25623
1247.413	25573
1247.635	25374
1247.858	25664
1248.08	25805
1248.302	25740
1248.524	25623
1248.747	25660
1248.969	25698
1249.191	25791
1249.413	25824
1249.635	25730
1249.857	25657
1250.079	25862
1250.301	25811
1250.523	25947
1250.745	25771
1250.967	25948
1251.189	25672
1251.411	25870
1251.633	25641
1251.855	25727
1252.077	25863
1252.298	25947
1252.52	25793
1252.742	25988
1252.964	25800
1253.185	25824
1253.407	25731
1253.629	25936
1253.85	25901
1254.072	25935
1254.293	25742
1254.515	25852
1254.736	25635
1254.958	25815
1255.179	25759
1255.401	25761
1255.622	25849
1255.843	26054
1256.065	26041
1256.286	25875
1256.507	25760
1256.729	25901
1256.95	25714
1257.171	26019
1257.392	25941
1257.614	25878
1257.835	25782
1258.056	25867
1258.277	25720
1258.498	25852
1258.719	25871
1258.94	25823
1259.161	25756
1259.382	25922
1259.603	25842
1259.824	25750
1260.045	25758
1260.265	25769
1260.486	25666
1260.707	26102
1260.928	25841
1261.149	25704
1261.369	25487
1261.59	25562
1261.811	25462
1262.031	25495
1262.252	25375
1262.472	25371
1262.693	25472
1262.913	25772
1263.134	25346
1263.354	25125
1263.575	25261
1263.795	25646
1264.016	25739
1264.236	25246
1264.456	24988
1264.677	25072
1264.897	24884
1265.117	24913
1265.337	24914
1265.558	24894
1265.778	24712
1265.998	24857
1266.218	24774
1266.438	24952
1266.658	24839
1266.878	25030
1267.098	25064
1267.318	24916
1267.538	24565
1267.758	24663
1267.978	24597
1268.198	24637
1268.418	24528
1268.638	24455
1268.857	24203
1269.077	24285
1269.297	24193
1269.517	24207
1269.736	24266
1269.956	24206
1270.176	24090
1270.395	24212
1270.615	23966
1270.834	24111
1271.054	24243
1271.273	24294
1271.493	24185
1271.712	24188
1271.932	24170
1272.151	24078
1272.37	24006
1272.59	24179
1272.809	24082
1273.028	24026
1273.247	24097
1273.467	23918
1273.686	23859
1273.905	23709
1274.124	23724
1274.343	23651
1274.562	23548
1274.781	23641
1275	23685
1275.219	23572
1275.438	23719
1275.657	24001
1275.876	24084
1276.095	24030
1276.314	24109
1276.533	23719
1276.752	23550
1276.97	23608
1277.189	23764
1277.408	23730
1277.627	23213
1277.845	23161
1278.064	23017
1278.283	23081
1278.501	22942
1278.72	23126
1278.938	23009
1279.157	23048
1279.375	23001
1279.594	23649
1279.812	23803
1280.03	23284
1280.249	22714
1280.467	22786
1280.685	22787
1280.904	22913
1281.122	22498
1281.34	22660
1281.558	22570
1281.776	22592
1281.995	22334
1282.213	22389
1282.431	22522
1282.649	22505
1282.867	22298
1283.085	22190
1283.303	22099
1283.521	21995
1283.739	21930
1283.957	21981
1284.174	21955
1284.392	22006
1284.61	21625
1284.828	21720
1285.046	21411
1285.263	21501
1285.481	21516
1285.699	21612
1285.916	21587
1286.134	22031
1286.351	21912
1286.569	21675
1286.786	21346
1287.004	21500
1287.221	21342
1287.439	21468
1287.656	21337
1287.874	21429
1288.091	21401
1288.308	21542
1288.526	21391
1288.743	21238
1288.96	21415
1289.177	21483
1289.394	21734
1289.612	21477
1289.829	20923
1290.046	21164
1290.263	21002
1290.48	20887
1290.697	20909
1290.914	20981
1291.131	20791
1291.348	20841
1291.565	21985
1291.781	22363
1291.998	22535
1292.215	21762
1292.432	20684
1292.649	20449
1292.865	20575
1293.082	20910
1293.299	20838
1293.515	20240
1293.732	20053
1293.948	19967
1294.165	19855
1294.381	20124
1294.598	20283
1294.814	20002
1295.031	19951
1295.247	19878
1295.464	19612
1295.68	19673
1295.896	19780
1296.113	19886
1296.329	19608
1296.545	19230
1296.761	19194
1296.977	19517
1297.193	19443
1297.41	19208
1297.626	19060
1297.842	18828
1298.058	18746
1298.274	18803
1298.49	18587
1298.706	18546
1298.922	18519
1299.137	18372
1299.353	18356
1299.569	18250
1299.785	18216
1300.001	18152
1300.216	18191
1300.432	18176
1300.648	18069
1300.863	18051
1301.079	18028
1301.295	17987
1301.51	17824
1301.726	17865
1301.941	17896
1302.157	18014
1302.372	17805
1302.587	17706
1302.803	17779
1303.018	17797
1303.233	17797
1303.449	17735
1303.664	17652
1303.879	17676
1304.094	17698
1304.31	17856
1304.525	17840
1304.74	17724
1304.955	17753
1305.17	17670
1305.385	17636
1305.6	17526
1305.815	17718
1306.03	17751
1306.245	17890
1306.46	17807
1306.675	17750
1306.889	17730
1307.104	17635
1307.319	17626
1307.534	17376
1307.748	17488
1307.963	17290
1308.178	17371
1308.392	17446
1308.607	17304
1308.821	17517
1309.036	17444
1309.25	17247
1309.465	17480
1309.679	17263
1309.894	17561
1310.108	17478
1310.322	17357
1310.537	17372
1310.751	17429
1310.965	17226
1311.179	17340
1311.394	17060
1311.608	17227
1311.822	17328
1312.036	17331
1312.25	17147
1312.464	17153
1312.678	17300
1312.892	17327
1313.106	17422
1313.32	17382
1313.534	17431
1313.748	17476
1313.962	17639
1314.175	17831
1314.389	18103
1314.603	18369
1314.817	18155
1315.03	18109
1315.244	18172
1315.457	19201
1315.671	19937
1315.885	19422
1316.098	18494
1316.312	18486
1316.525	19141
1316.739	19340
1316.952	18734
1317.165	18867
1317.379	19296
1317.592	19403
1317.805	19663
1318.019	19303
1318.232	18402
1318.445	18341
1318.658	18466
1318.871	18783
1319.084	18744
1319.297	18115
1319.511	18079
1319.724	18206
1319.937	18740
1320.149	20920
1320.362	20267
1320.575	18758
1320.788	18408
1321.001	18431
1321.214	19399
1321.427	19263
1321.639	18465
1321.852	18328
1322.065	18615
1322.277	18731
1322.49	18439
1322.703	18342
1322.915	18469
1323.128	18407
1323.34	17990
1323.553	18035
1323.765	18099
1323.977	17807
1324.19	17800
1324.402	17872
1324.614	18048
1324.827	18219
1325.039	18061
1325.251	17808
1325.463	17505
1325.676	17464
1325.888	17876
1326.1	17631
1326.312	17563
1326.524	17438
1326.736	17605
1326.948	17618
1327.16	17226
1327.372	17187
1327.584	17108
1327.795	17198
1328.007	17351
1328.219	17393
1328.431	17276
1328.642	17199
1328.854	17089
1329.066	17082
1329.277	17305
1329.489	17540
1329.701	17469
1329.912	17339
1330.124	17634
1330.335	18741
1330.547	18107
1330.758	17369
1330.969	17192
1331.181	16907
1331.392	17046
1331.603	17068
1331.815	17105
1332.026	17139
1332.237	17169
1332.448	16865
1332.659	16731
1332.87	16718
1333.082	16675
1333.293	16596
1333.504	16643
1333.715	16431
1333.925	16461
1334.136	16393
1334.347	16374
1334.558	16405
1334.769	16278
1334.98	16280
1335.191	16209
1335.401	16213
1335.612	16148
1335.823	16201
1336.033	16213
1336.244	16363
1336.454	16042
1336.665	15872
1336.875	16065
1337.086	16008
1337.296	16064
1337.507	15921
1337.717	15973
1337.928	15807
1338.138	15782
1338.348	15814
1338.558	15922
1338.769	15757
1338.979	15813
1339.189	15660
1339.399	15645
1339.609	15645
1339.819	15637
1340.029	15554
1340.239	15582
1340.449	15520
1340.659	15475
1340.869	15406
1341.079	15493
1341.289	15475
1341.499	15525
1341.708	15454
1341.918	15294
1342.128	15391
1342.338	15347
1342.547	15386
1342.757	15321
1342.967	15371
1343.176	15204
1343.386	15192
1343.595	15106
1343.805	15058
1344.014	14987
1344.223	15023
1344.433	14941
1344.642	14986
1344.851	14946
1345.061	14904
1345.27	14884
1345.479	14829
1345.688	14804
1345.897	14790
1346.107	14720
1346.316	14695
1346.525	14743
1346.734	14488
1346.943	14605
1347.152	14377
1347.361	14356
1347.569	14347
1347.778	14350
1347.987	14236
1348.196	14172
1348.405	14050
1348.613	13974
1348.822	14004
1349.031	14023
1349.239	13979
1349.448	13949
1349.657	13943
1349.865	13944
1350.074	13866
1350.282	13774
1350.491	13786
1350.699	13643
1350.907	13652
1351.116	13564
1351.324	13463
1351.532	13499
1351.741	13463
1351.949	13487
1352.157	13408
1352.365	13330
1352.573	13253
1352.781	13129
1352.989	13081
1353.197	12937
1353.405	13010
1353.613	12832
1353.821	12914
1354.029	12834
1354.237	12958
