0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1259.255	1445
1259.477	1418
1259.699	1405
1259.921	1531
1260.143	1407
1260.365	1522
1260.587	1429
1260.809	1390
1261.031	1551
1261.253	1456
1261.474	1432
1261.696	1498
1261.918	1413
1262.14	1495
1262.361	1614
1262.583	1481
1262.805	1386
1263.026	1494
1263.248	1683
1263.469	1445
1263.691	1464
1263.912	1418
1264.134	1498
1264.355	1450
1264.577	1550
1264.798	1381
1265.02	1495
1265.241	1495
1265.462	1503
1265.684	1522
1265.905	1487
1266.126	1502
1266.347	1444
1266.569	1499
1266.79	1476
1267.011	1399
1267.232	1604
1267.453	1480
1267.674	1447
1267.895	1398
1268.116	1438
1268.337	1388
1268.558	1346
1268.779	1490
1269	1518
1269.221	1439
1269.442	1489
1269.663	1410
1269.883	1415
1270.104	1434
1270.325	1467
1270.546	1394
1270.766	1420
1270.987	1492
1271.208	1502
1271.428	1321
1271.649	1457
1271.87	1508
1272.09	1474
1272.311	1594
1272.531	1499
1272.752	1413
1272.972	1458
1273.192	1457
1273.413	1451
1273.633	1495
1273.853	1586
1274.074	1473
1274.294	1462
1274.514	1414
1274.734	1534
1274.955	1427
1275.175	1501
1275.395	1432
1275.615	1505
1275.835	1602
1276.055	1457
1276.275	1430
1276.495	1506
1276.715	1526
1276.935	1505
1277.155	1427
1277.375	1480
1277.595	1438
1277.815	1470
1278.035	1522
1278.254	1495
1278.474	1240
1278.694	1458
1278.914	1390
1279.133	1445
1279.353	1422
1279.573	1527
1279.792	1473
1280.012	1413
1280.231	1432
1280.451	1474
1280.67	1382
1280.89	1435
1281.109	1487
1281.329	1492
1281.548	1546
1281.767	1366
1281.987	1508
1282.206	1459
1282.425	1383
1282.645	1469
1282.864	1426
1283.083	1477
1283.302	1435
1283.521	1531
1283.74	1461
1283.959	1464
1284.179	1463
1284.398	1485
1284.617	1448
1284.836	1506
1285.054	1391
1285.273	1436
1285.492	1605
1285.711	1436
1285.93	1472
1286.149	1551
1286.368	1445
1286.586	1547
1286.805	1388
1287.024	1497
1287.242	1407
1287.461	1493
1287.68	1475
1287.898	1589
1288.117	1354
1288.335	1573
1288.554	1439
1288.772	1565
1288.991	1399
1289.209	1484
1289.428	1363
1289.646	1406
1289.864	1404
1290.083	1533
1290.301	1385
1290.519	1565
1290.737	1549
1290.956	1511
1291.174	1420
1291.392	1526
1291.61	1394
1291.828	1482
1292.046	1521
1292.264	1564
1292.482	1488
1292.7	1440
1292.918	1474
1293.136	1522
1293.354	1481
1293.572	1469
1293.79	1455
1294.008	1427
1294.225	1473
1294.443	1505
1294.661	1501
1294.879	1561
1295.096	1504
1295.314	1479
1295.531	1519
1295.749	1520
1295.967	1504
1296.184	1461
1296.402	1586
1296.619	1539
1296.837	1540
1297.054	1449
1297.271	1453
1297.489	1441
1297.706	1468
1297.923	1554
1298.141	1422
1298.358	1551
1298.575	1519
1298.792	1539
1299.009	1450
1299.227	1521
1299.444	1528
1299.661	1443
1299.878	1551
1300.095	1456
1300.312	1489
1300.529	1534
1300.746	1471
1300.963	1524
1301.18	1541
1301.396	1572
1301.613	1549
1301.83	1554
1302.047	1600
1302.263	1496
1302.48	1589
1302.697	1562
1302.914	1585
1303.13	1547
1303.347	1613
1303.563	1600
1303.78	1465
1303.996	1621
1304.213	1532
1304.429	1571
1304.646	1581
1304.862	1472
1305.078	1528
1305.295	1488
1305.511	1584
1305.727	1534
1305.944	1589
1306.16	1512
1306.376	1438
1306.592	1494
1306.808	1420
1307.024	1584
1307.241	1501
1307.457	1600
1307.673	1434
1307.889	1495
1308.105	1581
1308.32	1580
1308.536	1510
1308.752	1672
1308.968	1588
1309.184	1551
1309.4	1632
1309.615	1655
1309.831	1487
1310.047	1608
1310.263	1566
1310.478	1470
1310.694	1480
1310.909	1678
1311.125	1573
1311.34	1686
1311.556	2007
1311.771	3270
1311.987	4052
1312.202	2497
1312.418	2379
1312.633	1856
1312.848	1970
1313.064	2687
1313.279	2907
1313.494	1714
1313.709	1677
1313.924	1701
1314.14	1594
1314.355	1775
1314.57	1885
1314.785	2201
1315	1958
1315.215	2325
1315.43	1858
1315.645	2177
1315.86	2304
1316.075	3107
1316.289	3645
1316.504	2267
1316.719	2811
1316.934	3901
1317.149	3259
1317.363	3544
1317.578	3007
1317.793	4620
1318.007	3010
1318.222	2315
1318.436	2432
1318.651	2096
1318.865	2117
1319.08	2154
1319.294	2168
1319.509	2189
1319.723	2219
1319.937	2275
1320.152	1916
1320.366	2403
1320.58	2282
1320.794	2233
1321.009	2546
1321.223	3177
1321.437	3099
1321.651	2546
1321.865	2280
1322.079	1994
1322.293	1790
1322.507	1754
1322.721	1980
1322.935	2060
1323.149	1964
1323.363	1960
1323.577	1748
1323.791	1875
1324.004	1686
1324.218	1648
1324.432	1776
1324.646	1696
1324.859	1793
1325.073	1674
1325.286	1679
1325.5	1801
1325.714	1789
1325.927	1633
1326.141	1609
1326.354	1442
1326.567	1571
1326.781	1707
1326.994	1628
1327.208	1538
1327.421	1499
1327.634	1646
1327.847	1635
1328.061	1724
1328.274	1632
1328.487	1600
1328.7	1561
1328.913	1544
1329.126	1463
1329.339	1727
1329.552	1533
1329.765	1524
1329.978	1615
1330.191	1530
1330.404	1573
1330.617	1571
1330.83	1503
1331.042	1584
1331.255	1635
1331.468	1609
1331.681	1536
1331.893	1573
1332.106	1543
1332.318	1602
1332.531	1551
1332.744	1483
1332.956	1539
1333.169	1711
1333.381	1727
1333.593	1617
1333.806	1455
1334.018	1608
1334.231	1489
1334.443	1554
1334.655	1471
1334.867	1510
1335.08	1347
1335.292	1503
1335.504	1497
1335.716	1577
1335.928	1562
1336.14	1577
1336.352	1386
1336.564	1581
1336.776	1498
1336.988	1620
1337.2	1579
1337.412	1509
1337.624	1515
1337.835	1542
1338.047	1444
1338.259	1357
1338.471	1418
1338.682	1581
1338.894	1430
1339.106	1553
1339.317	1518
1339.529	1445
1339.74	1394
1339.952	1531
1340.163	1403
1340.375	1463
1340.586	1379
1340.798	1523
1341.009	1475
1341.22	1491
1341.432	1467
1341.643	1603
1341.854	1544
1342.065	1427
1342.276	1392
1342.488	1444
1342.699	1345
1342.91	1516
1343.121	1459
1343.332	1469
1343.543	1469
1343.754	1476
1343.965	1409
1344.175	1530
1344.386	1541
1344.597	1506
1344.808	1414
1345.019	1444
1345.229	1365
1345.44	1405
1345.651	1456
1345.861	1503
1346.072	1387
1346.283	1542
1346.493	1520
1346.704	1529
1346.914	1360
1347.125	1479
1347.335	1495
1347.545	1468
1347.756	1419
1347.966	1530
1348.176	1428
1348.387	1564
1348.597	1483
1348.807	1467
1349.017	1411
1349.227	1486
1349.437	1501
1349.647	1457
1349.858	1419
1350.068	1469
1350.277	1436
1350.487	1444
1350.697	1483
1350.907	1450
1351.117	1513
1351.327	1446
1351.537	1268
1351.746	1493
1351.956	1500
1352.166	1503
1352.376	1342
1352.585	1551
1352.795	1412
1353.004	1499
1353.214	1461
1353.423	1637
1353.633	1446
1353.842	1553
1354.052	1404
1354.261	1434
1354.47	1411
1354.68	1478
1354.889	1364
1355.098	1499
1355.307	1413
1355.517	1448
1355.726	1406
1355.935	1513
1356.144	1469
1356.353	1547
